1444381480;+;250.00;RON 
1444383830;+;250.00;RON 
1444383968;+;250.00;RON 
1444384007;+;250.00;RON 
1444385618;+;250.00;RON 
1444385750;+;250.00;RON 
1444389745;+;250.00;RON 
1444389822;+;250.00;RON 
1444389856;+;250.00;RON 
1444389909;+;250.00;RON 
1444389933;+;250.00;RON 
1444389973;+;250.00;RON 
1444390322;-;255.56;RON 
1444393763;-;255.56;RON 
1444393867;-;255.56;RON 
1444393999;-;255.56;RON 
1444394311;-;255.56;RON 
1444394541;-;255.56;RON 
1444394655;-;255.56;RON 
1444397603;-;255.56;RON 
